City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,pucon,-39.2822,-71.9543,277.84,90,86,0.85,CL,1714541427
112,kirensk,57.7853,108.1119,274.8,50,100,4.02,RU,1714541285
113,remire-montjoly,4.9167,-52.2667,299.17,94,75,0.0,GF,1714541226
114,haiku-pauwela,20.9219,-156.3051,297.62,77,20,6.69,US,1714541330
115,kodiak,57.79,-152.4072,277.88,81,100,4.12,US,1714541428
116,catio,11.2833,-15.25,298.96,77,82,2.37,GW,1714541429
117,shangzhi,45.2167,127.9667,294.23,20,0,5.68,CN,1714541429
118,vernon,50.2581,-119.2691,280.89,61,100,1.03,CA,1714541325
119,ilulissat,69.2167,-51.1,267.16,68,100,2.06,GL,1714541430
120,new norfolk,-42.7826,147.0587,289.22,37,1,0.97,AU,1714541224
121,arraial do cabo,-22.9661,-42.0278,297.08,92,0,8.95,BR,1714541323
122,boulsa,12.6675,-0.5758,302.67,23,11,5.11,BF,1714541432
123,alghero,40.5589,8.3181,287.2,100,40,1.54,IT,1714541432
124,la'ie,21.6477,-157.9253,300.13,91,44,0.89,US,1714541032
125,port isabel,26.0734,-97.2086,299.27,90,100,5.14,US,1714541433
126,tofol,5.3248,163.0078,301.41,83,100,9.95,FM,1714541347
127,stanley,54.868,-1.6985,283.31,95,100,1.54,GB,1714541434
128,rongelap,11.1635,166.8941,300.52,83,67,9.24,MH,1714541434
129,bilibino,68.0546,166.4372,273.93,92,99,0.64,RU,1714541435
130,sydney mines,46.2367,-60.2177,279.47,91,100,7.72,CA,1714541435
131,jeddah,21.5169,39.2192,302.07,65,0,4.12,SA,1714541402
132,bandrele,-12.9067,45.1914,303.01,79,75,7.72,YT,1714541436
133,antofagasta,-23.65,-70.4,289.75,81,5,1.28,CL,1714540971
134,oranjemund,-28.55,16.4333,289.66,80,12,2.25,NA,1714541437
135,manavalakurichi,8.1333,77.3,305.56,63,100,5.75,IN,1714541437
136,hailey,43.5196,-114.3153,277.22,35,0,4.12,US,1714541438
